Country,Programme_Name,Category,Budget_EUR_M,Timeline,Start_Year,End_Year,Duration_Months,Partners_Count,Member_States,Status,Description,Key_Technologies,Confidence,Source
UK,Strategic Defence Review 2025 - RAS Investment,All Categories,5756.0,2025-2030,2025,2030,60.0,,1.0,Active,"£5B investment in autonomous systems (land, sea, air) + directed energy weapons. New drone centre.","Autonomous systems, UAVs, UGVs, maritime autonomy, directed energy, AI integration",High,UK Strategic Defence Review June 2025
UK,Made Smarter Innovation - Robotics R&D,Ground Robotics R&D,3224.0,2025-2030,2025,2030,60.0,,1.0,Active,"£2.8B R&D over 5 years for robotics, smart factories, AI. Collaborative projects. Dual-use applications.","Industrial robotics, AI integration, digital twins, IoT, automation",High,"UK Industrial Strategy 2025, Advanced Manufacturing Sector Plan"
UK,UK Defence Innovation (UKDI),Autonomy Software R&D,461.0,2025+,2025,2030,,,1.0,Active,"Dedicated organisation for dual-use tech adoption. £400M annual budget. Robotics, AI, autonomous systems focus.","Dual-use technologies, AI integration, autonomous systems, rapid acquisition",High,"Strategic Defence Review 2025, UK Government June 2025"
France,MAAID - Ministerial Agency for AI in Defence,Autonomy Software R&D,300.0,2024-2030,2024,2030,72.0,,1.0,Active,"Europe's most powerful classified supercomputer. Autonomous decision-making, swarm coordination, predictive targeting.","AI algorithms, supercomputing, autonomous decision support, predictive targeting, swarm AI",High,"French MOD May 2024, €300M budget confirmed"
UK,ARIA Robot Dexterity Programme,Ground Robotics R&D,65.6,2024+,2024,2030,,,1.0,Active,£57M high-risk programme to transform robotic dexterity. Step-change in productivity. Dual-use defence applications.,"Advanced manipulation, dexterity, AI-powered control, adaptive grasping",High,"ARIA programme, UK Industrial Strategy 2025"
EU,iMUGS2 - integrated Modular Unmanned Ground Systems 2,Ground Robotics R&D,50.0,2025-2028,2025,2028,36.0,29.0,15.0,Active,Next-gen modular UGV system-of-systems. 29 partners from 15 Member States. Combat-ready by 2030.,"Autonomous navigation, GNSS-denied operation, swarm coordination, modular architecture, cyber security",High,"EDF 2024 Call, Milrem Robotics press release May 2025"
UK,Robotics Adoption Hubs Network,Ground Robotics R&D,46.1,2025-2030,2025,2030,60.0,,1.0,Active,UK-wide network of physical Robotics Adoption Hubs. £40M initial funding. Accelerate robotics take-up.,"Technology adoption, SME support, robotics demonstration, training",High,UK Industrial Strategy 2025
EU,SCEPTER - Standardized Radar/EW/Comms for Airborne Platforms,UAV Systems R&D,35.0,2025+,2025,2028,,,,Active,"Interoperable standardized radar, EW, communications for airborne platforms. €35M EDF funding.","Radar systems, electronic warfare, communications, interoperability, UAV integration",High,"EDF 2024 Call, €35M funding"
France,DROIDE - Ground Robotics Framework,Ground Robotics R&D,,2024-2035,2024,2035,84.0,2.0,1.0,Active,7-year framework for multi-mission ground robotic demonstrator. KNDS + Safran. Accelerate deployment 2030-2035.,"Autonomous navigation, modular architecture, multi-mission platforms, terrain adaptation",High,DGA announcement December 2024
EU,AIDA - Artificial Intelligence Deployable Agent,Autonomy Software R&D,,2024-2028,2024,2028,42.0,28.0,,Active,AI-enabled cybersecurity agent for combat aircraft. 28 partners led by Thales and CR14 Estonia.,"AI cyber defense, autonomous response, electronic warfare protection, onboard systems",High,"EDF 2023 Call, Thales press release November 2024"
Germany,CIHBw - Cyber Innovation Hub,Autonomy Software R&D,,2017+,2017,2030,,,1.0,Active,Cyber Innovation Hub for AI deployment in defense. Integration roadmap for autonomous systems.,"AI integration, cyber security, autonomous systems integration, digital warfare",High,"German MOD, European Parliament Defence AI Report 2025"
Germany,PATH Autonomous Kit Development,Ground Robotics R&D,,2023+,2023,2028,,,1.0,Active,"Platform-agnostic autonomous kit. Won ELROB 2024. 3 competence centers (Germany, Nordics, UK).","Platform-agnostic autonomy, convoy automation, adaptive navigation, retrofit kits",High,"Rheinmetall press release April 2025, ELROB 2024 winner"
Germany,ARX Robotics GEREON Development,Ground Robotics R&D,,2021+,2021,2028,,,1.0,Active,"Modular UGV family (GEREON RCS, ATR, 3). NATO Innovation Fund backed. 30 units supplied to Ukraine.","Modular robotics, AI coordination, 500kg payload, 40km range, off-shelf components",High,"NATO Innovation Fund, Germany aid to Ukraine March 2025"
Germany,UMUM-T - Unmanned-Unmanned Teaming,"UAV Systems R&D, Ground Robotics R&D",,2024+,2024,2028,,2.0,1.0,Active,First German demo of aerial-ground drone teaming. ARX Gereon UGV + Quantum Systems Vector UAV.,"Multi-domain coordination, autonomous launch/recovery, UGV-UAV integration",High,Bundeswehr demonstration August 2024
EU,Eurosweep - Autonomous Minesweeping,Naval Robotics R&D,,2025+,2025,2030,,,,Active,Develop unmanned autonomous minesweeping system for naval operations. EDF 2024 flagship project.,"Autonomous navigation, mine detection, unmanned vessels, maritime robotics",Medium,"EDF 2024 Call Results, European Commission April 2025"
France,ARTEMIS.IA - Big Data Processing Platform,Autonomy Software R&D,,2022-2027,2022,2027,60.0,,1.0,Active,"Big-data processing platform for autonomous operations in intelligence, command, digital domains.","Big data analytics, machine learning, autonomous operations, intelligence processing",High,"French AI Defence Strategy 2022, DrOID 2023"
France,FURIOUS - Future Robotic Systems,Ground Robotics R&D,,2018-2023,2018,2023,60.0,2.0,1.0,Completed,"Three demonstrators for zone reconnaissance, building exploration, equipment transport. Tested at CENZUB.","Modular architecture, autonomous functions, multiple sizes, urban operations",High,"DGA innovation document, DrOID 2023 report"
UK,DASA - Affordable UAS Autonomy Competition,UAV Systems R&D,,2023-2024,2023,2024,12.0,,1.0,Completed,"Affordable autonomous near-surface (0-10,000ft) capabilities for British Army. Mass autonomous capabilities.","Low-cost autonomy, contested EM spectrum, layered air defense survival, 4km² search",High,DASA Competition 2023
UK,DASA - Counter-UAS Detect & Defeat,Counter-UAS R&D,,2022-2023,2022,2023,12.0,,1.0,Completed,Phase 2 competition for C-UAS technologies. Detect/destroy UAS not reliant on RF links.,"C-UAS detection, RF-independent sensors, kinetic defeat, Class I UAS targeting",High,DASA Phase 2 Competition 2022
EU,EDF 2024 - Drone Navigation/Swarming (5 projects),UAV Systems R&D,,2025+,2025,2028,,,,Active,5 projects working on resilient drone navigation & swarming in non-permissive environments.,"GNSS-denied navigation, swarm algorithms, resilient communications, contested environments",High,"EDF 2024 Call Results, €910M total allocation"
EU,EDF 2024 - AI Satellite Image Analysis (4 projects),Autonomy Software R&D,,2025+,2025,2028,,,,Active,4 projects applying AI for satellite image analysis including military activity detection & monitoring.,"Machine learning, computer vision, satellite imagery analysis, target detection",High,EDF 2024 Call Results
France,CoHoMa Challenge - Collaborative Human-Machine,Ground Robotics R&D,,2023+,2023,2028,,,1.0,Active,Explore integration of robotics in military operations. Human-machine collaboration experiments.,"Human-robot interaction, collaborative operations, tactical integration",Medium,French Army experimentation programmes
